item_id,name,type,description
common-grackle,"Common Grackle",,species,,""
common-loon,"Common Loon",,species,,""
common-nighthawk,"Common Nighthawk",,species,,""
common-raven,"Common Raven",,species,,""
common-tern,"Common Tern",,species,,""
common-yellowthroat,"Common Yellowthroat",,species,,""
cooper's-hawk,"Cooper's Hawk",,species,,""
downy-woodpecker,"Downy Woodpecker",,species,,""
eastern-phoebe,"Eastern Phoebe",,species,,""
eastern-screech-owl,"Eastern Screech-Owl",,species,,""
fish-crow,"Fish Crow",,species,,""
forster's-tern,"Forster's Tern",,species,,""
golden-crowned-kinglet,"Golden-crowned Kinglet",,species,,""
golden-winged-warbler,"Golden-winged Warbler",,species,,""
gray-catbird,"Gray Catbird",,species,,""
great-blue-heron,"Great Blue Heron",,species,,""
great-horned-owl,"Great Horned Owl",,species,,""
henslow's-sparrow,"Henslow's Sparrow",,species,,""
hermit-thrush,"Hermit Thrush",,species,,""
herring-gull,"Herring Gull",,species,,""
hooded-warbler,"Hooded Warbler",,species,,""
horned-lark,"Horned Lark",,species,,""
indigo-bunting,"Indigo Bunting",,species,,""
ivory-billed-woodpecker,"Ivory-billed Woodpecker",,species,,""
kentucky-warbler,"Kentucky Warbler",,species,,""
king-rail,"King Rail",,species,,""
lark-sparrow,"Lark Sparrow",,species,,""
least-sandpiper,"Least Sandpiper",,species,,""
least-tern,"Least Tern",,species,,""
lesser-scaup,"Lesser Scaup",,species,,""
lesser-yellowlegs,"Lesser Yellowlegs",,species,,""
lincoln's-sparrow,"Lincoln's Sparrow",,species,,""
little-blue-heron,"Little Blue Heron",,species,,""
long-billed-dowitcher,"Long-billed Dowitcher",,species,,""
merlin,"Merlin",,species,,""
mississippi-kite,"Mississippi Kite",,species,,""
nashville-warbler,"Nashville Warbler",,species,,""
nelson's-sparrow,"Nelson's Sparrow",,species,,""
northern-mockingbird,"Northern Mockingbird",,species,,""
northern-rough-winged-swallow,"Northern Rough-winged Swallow",,species,,""
northern-shoveler,"Northern Shoveler",,species,,""
olive-sided-flycatcher,"Olive-sided Flycatcher",,species,,""
orange-crowned-warbler,"Orange-crowned Warbler",,species,,""
orchard-oriole,"Orchard Oriole",,species,,""
osprey,"Osprey",,species,,""
ovenbird,"Ovenbird",,species,,""
pectoral-sandpiper,"Pectoral Sandpiper",,species,,""
peregrine-falcon,"Peregrine Falcon",,species,,""
pine-siskin,"Pine Siskin",,species,,""
pine-warbler,"Pine Warbler",,species,,""
prairie-warbler,"Prairie Warbler",,species,,""
prothonotary-warbler,"Prothonotary Warbler",,species,,""
red-bellied-woodpecker,"Red-bellied Woodpecker",,species,,""
red-breasted-merganser,"Red-breasted Merganser",,species,,""
red-breasted-nuthatch,"Red-breasted Nuthatch",,species,,""
reddish-egret,"Reddish Egret",,species,,""
ncwap15-4.3.2-conservation-programs-and-partnerships-priority-1,"NCWAP15 4.3.2 Conservation Programs And Partnerships Priority 1",,priority,,"Protect inland tidal freshwater wetlands, which will become extensive estuarine communities in the future, and allow the barrier islands to migrate and new inlets to form."
ncwap15-4.3.2-conservation-programs-and-partnerships-priority-2,"NCWAP15 4.3.2 Conservation Programs And Partnerships Priority 2",,priority,,"Implement conservation measures outlined in the Albemarle–Pamlico National Estuary Partnership (see http://portal.ncdenr.org/web/apnep)."
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-3,"NCWAP15 4.3.5 Conservation Programs And Partnerships Priority 3",,priority,,"Initiate partnerships with the Natural Resources Conservation Service to begin cane restoration projects and research."
ncwap15-4.3.3-conservation-programs-and-partnerships-priority-4,"NCWAP15 4.3.3 Conservation Programs And Partnerships Priority 4",,priority,,"Work to develop eight patches of forested wetlands at least 10,000 acres in size throughout the South [[Atlantic Coastal Plain]], as called for in the South [[Atlantic Coastal Plain]] Partners in Flight Bird Conservation Plan (Hunter et al. 2001b)."
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-5,"NCWAP15 4.3.5 Conservation Programs And Partnerships Priority 5",,priority,,"Make an attempt to protect waterbird nesting colonies. Continue cooperative efforts with colonial waterbird (wading bird) working groups and follow future management recommendations from the North American Waterbird Management Plan (Kushlan et al. 2002)."
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-6,"NCWAP15 4.3.5 Conservation Programs And Partnerships Priority 6",,priority,,"Make efforts to retain old growth floodplain forest for chimney swifts, bats, and herpetofauna."
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-7,"NCWAP15 4.3.5 Conservation Programs And Partnerships Priority 7",,priority,,"Work to develop eight patches of forested wetlands at least 10,000 acres in size throughout the South [[Atlantic Coastal Plain]], as called for in the South [[Atlantic Coastal Plain]] Partners in Flight Bird Conservation Plan (Hunter et al. 2000b)."
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-8,"NCWAP15 4.3.5 Conservation Programs And Partnerships Priority 8",,priority,,"Further expand the Forest Landbird Legacy Program (a cooperative effort between the Commission, the US Fish and Wildlife Service [USFWS], and the Natural Resources Conservation Service) to influence habitat for birds and other wildlife in mature floodplain forest through canopy gap management and other options."
ncwap15-4.3.4-conservation-programs-and-partnerships-priority-9,"NCWAP15 4.3.4 Conservation Programs And Partnerships Priority 9",,priority,,"Pursue land acquisition and easements through cooperation with land trusts with an effort to increase the width of riparian buffers and create larger patches of connected habitat. Priority should be given to brownwater bottomlands, as these are the most species-rich and are more susceptible to clearcutting and other timber harvest than cypress-gum swamps (i.e., wetter sites) (NCWRC 2005)."
ncwap15-4.3.4-conservation-programs-and-partnerships-priority-10,"NCWAP15 4.3.4 Conservation Programs And Partnerships Priority 10",,priority,,"Wherever possible, maintenance or restoration of floodplain forest connectivity should be pursued; floodplain forest are important distribution and dispersal corridors for many species (Bailey et al. 2004 in NCWRC 2005)."
ncwap15-4.3.6-conservation-programs-and-partnerships-priority-11,"NCWAP15 4.3.6 Conservation Programs And Partnerships Priority 11",,priority,,"Acquisition of freshwater tidal marsh habitat in the Currituck Sound area is important."
ncwap15-4.4.6-conservation-programs-and-partnerships-priority-12,"NCWAP15 4.4.6 Conservation Programs And Partnerships Priority 12",,priority,,"Collaborate with partners to develop a management plan for high-elevation communities."
ncwap15-4.4.7-conservation-programs-and-partnerships-priority-13,"NCWAP15 4.4.7 Conservation Programs And Partnerships Priority 13",,priority,,"Close sensitive areas at certain times (e.g., during Timber Rattlesnake emergence or [[Peregrine Falcon]] nesting) or permanently to stop direct trampling, loss of habitat to recreation developments, trails, vistas, etc., and indirect human impacts (disturbance)."
ncwap15-4.4.14-conservation-programs-and-partnerships-priority-14,"NCWAP15 4.4.14 Conservation Programs And Partnerships Priority 14",,priority,,"Pursue reestablishment of maritime forest habitats, including initiation of prescribed burning of appropriate maritime habitats, where possible."
ncwap15-4.4.9-conservation-programs-and-partnerships-priority-15,"NCWAP15 4.4.9 Conservation Programs And Partnerships Priority 15",,priority,,"Give priority to restoring connections that are lost due to construction of four-lane highways and other roads that create near-impassible barriers for all animals except those capable of flight."
ncwap15-4.4.12-conservation-programs-and-partnerships-priority-16,"NCWAP15 4.4.12 Conservation Programs And Partnerships Priority 16",,priority,,"Work with partners like Prescribed Fire Council and the Fire Learning Network to reinstate prescribed burning, which is perhaps the most important action that can make oak forests better able to withstand climate change."
ncwap15-4.3.7-conservation-programs-and-partnerships-priority-17,"NCWAP15 4.3.7 Conservation Programs And Partnerships Priority 17",,priority,,"Restoration efforts may be possible in some cases through partnerships with land trusts, the Nature Conservancy, and state and federal agencies."
ncwap15-4.4.3-conservation-programs-and-partnerships-priority-18,"NCWAP15 4.4.3 Conservation Programs And Partnerships Priority 18",,priority,,"Increase connectivity among habitat patches, both through acquisition or management of adjacent stands. Preservation of large tracts of minimally disturbed older forests may be key to maintaining forest litter amphibian populations."
ncwap15-4.4.11-conservation-programs-and-partnerships-priority-19,"NCWAP15 4.4.11 Conservation Programs And Partnerships Priority 19",,priority,,"Use landowner incentives to promote extending rotation lengths for timber."
ncwap15-4.4.11-conservation-programs-and-partnerships-priority-20,"NCWAP15 4.4.11 Conservation Programs And Partnerships Priority 20",,priority,,"Concentrate planning for future infrastructure (roads, water lines, etc.) closer to existing development and avoid dissecting larger tracks of unfragmented forest."
ncwap15-4.4.11-conservation-programs-and-partnerships-priority-21,"NCWAP15 4.4.11 Conservation Programs And Partnerships Priority 21",,priority,,"Make attempts to provide large core areas of forest and to connect isolated patches of forests. Cooper (2000) recommends that core areas be at least 16,000 acres in size to produce viable populations of forest-interior birds, like [[Scarlet Tanager]]. Large core areas will be important for reptiles like Eastern Box Turtle and Timber Rattlesnake, which suffer high mortality when crossing roads."
ncwap15-4.3.8-conservation-programs-and-partnerships-priority-22,"NCWAP15 4.3.8 Conservation Programs And Partnerships Priority 22",,priority,,"Focus land acquisition on consolidating these areas into larger holdings so that they may be managed through fire."
ncwap15-4.2.13-conservation-programs-and-partnerships-priority-23,"NCWAP15 4.2.13 Conservation Programs And Partnerships Priority 23",,priority,,"Limit lakeshoredevelopment at sites where there is no protected buffer land."
ncwap15-4.2.13-conservation-programs-and-partnerships-priority-24,"NCWAP15 4.2.13 Conservation Programs And Partnerships Priority 24",,priority,,"Implement conservation strategies where appropriate to protect downstream reaches of relic dams where there are known populations of priority mussel species."
ncwap15-4.4.17-conservation-programs-and-partnerships-priority-25,"NCWAP15 4.4.17 Conservation Programs And Partnerships Priority 25",,priority,,"Protect smaller tracts that are situated between blocks so they can function as a corridor between conservation sites."
ncwap15-4.2.2-conservation-programs-and-partnerships-priority-26,"NCWAP15 4.2.2 Conservation Programs And Partnerships Priority 26",,priority,,"Undertake immediate and continuing efforts to limit water quality deterioration from point sources of pollution as well as nonpoint sources. In general, the most critical conservation actions necessary to sustain populations of riverine habitat species involve protection of water quality and aquatic habitats."
