item_id,category
american-bittern,NC Knowledge Concern
american-coot,Species
american-coot,Bird
american-coot,Gruiformes
american-coot,Rallidae
american-coot,NC Management Concern
american-crow,Species
american-crow,Bird
american-crow,Passeriformes
american-crow,Corvidae
american-kestrel,Species
american-kestrel,Bird
american-kestrel,Falconiformes
american-kestrel,Falconidae
american-kestrel,NC SGCN
anhinga,Species
anhinga,Bird
anhinga,Suliformes
anhinga,Anhingidae
bachman's-warbler,Species
bachman's-warbler,Bird
bachman's-warbler,Passeriformes
bachman's-warbler,Parulidae
bank-swallow,Bird
bank-swallow,NC Knowledge Concern
bank-swallow,NC SGCN
bank-swallow,Species
barn-owl,Bird
barn-owl,NC Knowledge Concern
barn-owl,NC SGCN
barn-owl,Species
barn-swallow,Bird
barn-swallow,Species
barred-owl,Bird
barred-owl,Species
bay-breasted-warbler,Bird
bay-breasted-warbler,NC Knowledge Concern
bay-breasted-warbler,Species
black-and-white-warbler,Bird
black-and-white-warbler,Species
blackburnian-warbler,Bird
blackburnian-warbler,NC Knowledge Concern
blackburnian-warbler,NC SGCN
blackburnian-warbler,Species
black-necked-stilt,Bird
black-necked-stilt,Species
black-rail,Bird
black-rail,NC Knowledge Concern
black-rail,NC SGCN
black-rail,Species
black-throated-green-warbler,Bird
black-throated-green-warbler,Species
black-vulture,Bird
black-vulture,Species
blue-headed-vireo,Bird
blue-headed-vireo,Species
blue-winged-teal,Bird
blue-winged-teal,NC Management Concern
blue-winged-teal,Species
blue-winged-warbler,Bird
blue-winged-warbler,NC Knowledge Concern
blue-winged-warbler,Species
red-eyed-vireo,Bird
red-eyed-vireo,Species
redhead,Bird
redhead,Species
red-headed-woodpecker,Bird
red-headed-woodpecker,NC SGCN
red-headed-woodpecker,Species
red-knot,Bird
red-knot,NC Management Concern
red-knot,NC SGCN
red-knot,Species
red-necked-phalarope,Bird
red-necked-phalarope,NC Management Concern
red-necked-phalarope,Species
red-throated-loon,Bird
red-throated-loon,Species
ring-billed-gull,Bird
ring-billed-gull,Species
ring-necked-duck,Bird
ring-necked-duck,NC Management Concern
ring-necked-duck,Species
rock-pigeon,Bird
rock-pigeon,NC Management Concern
rock-pigeon,Species
rose-breasted-grosbeak,Bird
rose-breasted-grosbeak,NC Knowledge Concern
rose-breasted-grosbeak,Species
ruddy-turnstone,Bird
ruddy-turnstone,NC Management Concern
ruddy-turnstone,NC SGCN
ruddy-turnstone,Species
ruffed-grouse,Bird
ruffed-grouse,NC Management Concern
ruffed-grouse,NC SGCN
ruffed-grouse,Species
rusty-blackbird,Bird
rusty-blackbird,NC Knowledge Concern
rusty-blackbird,NC SGCN
rusty-blackbird,Species
saltmarsh-sparrow,Bird
saltmarsh-sparrow,NC Knowledge Concern
saltmarsh-sparrow,NC SGCN
saltmarsh-sparrow,Species
sandwich-tern,Bird
sandwich-tern,NC Management Concern
sandwich-tern,NC SGCN
sandwich-tern,Species
savannah-sparrow,Bird
savannah-sparrow,NC SGCN
savannah-sparrow,Species
scarlet-tanager,Bird
scarlet-tanager,Species
short-billed-dowitcher,Bird
short-billed-dowitcher,NC Knowledge Concern
short-billed-dowitcher,NC Management Concern
short-billed-dowitcher,Species
snowy-egret,Bird
snowy-egret,NC Management Concern
snowy-egret,NC SGCN
snowy-egret,Species
song-sparrow,Bird
song-sparrow,Species
spotted-sandpiper,Bird
spotted-sandpiper,NC Knowledge Concern
spotted-sandpiper,Species
swainson's-thrush,Bird
swainson's-thrush,NC Knowledge Concern
swainson's-thrush,Species
swainson's-warbler,Bird
swainson's-warbler,NC Knowledge Concern
swainson's-warbler,NC SGCN
swainson's-warbler,Species
swallow-tailed-kite,Bird
swallow-tailed-kite,NC Knowledge Concern
swallow-tailed-kite,NC SGCN
swallow-tailed-kite,Species
tennessee-warbler,Bird
tennessee-warbler,NC Knowledge Concern
tennessee-warbler,Species
tree-swallow,Bird
tree-swallow,NC Knowledge Concern
tree-swallow,Species
tricolored-heron,Bird
tricolored-heron,NC Management Concern
tricolored-heron,NC SGCN
tricolored-heron,Species
turkey-vulture,Bird
turkey-vulture,Species
veery,Bird
veery,NC Knowledge Concern
veery,NC SGCN
veery,Species
vesper-sparrow,Bird
vesper-sparrow,NC SGCN
vesper-sparrow,Species
warbling-vireo,Bird
warbling-vireo,NC Knowledge Concern
warbling-vireo,NC Management Concern
warbling-vireo,Species
whimbrel,Bird
whimbrel,NC Management Concern
whimbrel,NC SGCN
whimbrel,Species
white-ibis,Bird
white-ibis,NC Management Concern
white-ibis,NC SGCN
white-ibis,Species
wild-turkey,Bird
wild-turkey,NC Management Concern
wild-turkey,Species
willet,Bird
willet,NC Management Concern
willet,NC SGCN
willet,Species
wood-duck,Bird
wood-duck,NC Management Concern
wood-duck,Species
yellow-bellied-sapsucker,Bird
yellow-bellied-sapsucker,NC Knowledge Concern
yellow-bellied-sapsucker,NC Management Concern
yellow-bellied-sapsucker,Species
yellow-breasted-chat,Bird
yellow-breasted-chat,Species
yellow-crowned-night-heron,Bird
yellow-crowned-night-heron,NC Knowledge Concern
yellow-crowned-night-heron,NC Management Concern
yellow-crowned-night-heron,NC SGCN
yellow-crowned-night-heron,Species
yellow-rail,Bird
yellow-rail,NC Knowledge Concern
yellow-rail,NC SGCN
yellow-rail,Species
brant,Bird
brant,NC Management Concern
brant,NC SGCN
brant,Species
broad-winged-hawk,Bird
broad-winged-hawk,Species
brown-creeper,Bird
brown-creeper,NC Knowledge Concern
brown-creeper,Species
brown-headed-cowbird,Bird
brown-headed-cowbird,Species
brown-headed-nuthatch,Bird
brown-headed-nuthatch,NC SGCN
brown-headed-nuthatch,Species
brown-pelican,Bird
brown-pelican,NC Management Concern
brown-pelican,NC SGCN
brown-pelican,Species
canada-goose,Bird
canada-goose,NC Management Concern
canada-goose,Species
caspian-tern,Bird
caspian-tern,NC Management Concern
caspian-tern,NC SGCN
caspian-tern,Species
cattle-egret,Bird
cattle-egret,NC Management Concern
cattle-egret,Species
cedar-waxwing,Bird
cedar-waxwing,Species
cerulean-warbler,Bird
cerulean-warbler,NC SGCN
cerulean-warbler,Species
chestnut-sided-warbler,Bird
chestnut-sided-warbler,Species
chuck-will's-widow,Bird
chuck-will's-widow,Species
clapper-rail,Bird
clapper-rail,NC Knowledge Concern
clapper-rail,NC SGCN
clapper-rail,Species
clay-colored-sparrow,Bird
clay-colored-sparrow,NC SGCN
clay-colored-sparrow,Species
cliff-swallow,Bird
cliff-swallow,Species
common-goldeneye,Bird
common-goldeneye,Species
common-grackle,Bird
common-grackle,Species
common-loon,Bird
common-loon,NC Knowledge Concern
common-loon,NC Management Concern
common-loon,Species
common-nighthawk,Bird
common-nighthawk,Species
common-raven,Bird
common-raven,NC Knowledge Concern
common-raven,NC SGCN
common-raven,Species
common-tern,Bird
common-tern,NC Management Concern
common-tern,NC SGCN
common-tern,Species
common-yellowthroat,Bird
common-yellowthroat,Species
cooper's-hawk,Bird
cooper's-hawk,NC Knowledge Concern
cooper's-hawk,Species
downy-woodpecker,Bird
downy-woodpecker,Species
eastern-phoebe,Bird
eastern-phoebe,Species
eastern-screech-owl,Bird
